open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1746388800000,95592.00000000,95773.97000000,94162.47000000,94280.01000000,514.47693000,1746403199999,48859603.45214250,51388,240.04560000,22801042.05252860,0
1746403200000,94280.00000000,94812.00000000,93521.98000000,94047.79000000,660.76435000,1746417599999,62255879.55685150,67897,342.87368000,32312477.30618990,0
1746417600000,94047.79000000,94825.00000000,94028.75000000,94762.47000000,375.97524000,1746431999999,35541079.78501910,37638,209.00103000,19756474.37937900,0
1746432000000,94762.47000000,94788.52000000,93889.11000000,94044.01000000,352.64422000,1746446399999,33270524.07130070,33847,152.23565000,14363485.13926420,0
1746446400000,94044.01000000,94535.35000000,93605.98000000,93768.01000000,677.17646000,1746460799999,63685327.14129370,74621,325.33580000,30603505.79119540,0
1746460800000,93768.01000000,94896.00000000,93750.01000000,94338.02000000,613.95941000,1746475199999,57988038.71221340,53709,292.56801000,27625384.17507940,0
1746475200000,94333.27000000,95190.00000000,93860.00000000,94727.59000000,362.10488000,1746489599999,34268729.66963520,41835,184.27915000,17444615.79582620,0
1746489600000,94727.60000000,94916.66000000,94013.18000000,94445.99000000,250.35795000,1746503999999,23639660.23224450,28699,118.44192000,11183559.15210670,0
1746504000000,94446.15000000,94618.00000000,94284.33000000,94375.62000000,174.55785000,1746518399999,16484544.13933160,18125,72.83629000,6878774.21404520,0
1746518400000,94375.62000000,94378.00000000,93702.18000000,93792.60000000,367.37063000,1746532799999,34556351.47835220,34132,136.93578000,12883956.51624430,0
1746532800000,93792.61000000,94724.27000000,93371.31000000,94553.99000000,1013.76007000,1746547199999,95377194.60840520,63909,557.93826000,52505582.08747630,0
1746547200000,94555.98000000,95166.00000000,94208.33000000,94961.00000000,668.16666000,1746561599999,63310001.54076930,45070,334.19984000,31667841.02721110,0
1746561600000,94964.07000000,96906.52000000,94457.30000000,96830.58000000,778.41561000,1746575999999,74570664.10175870,69279,440.70895000,42241622.75991790,0
1746576000000,96830.58000000,97724.19000000,96207.16000000,96502.02000000,713.99537000,1746590399999,69254879.60626270,62481,337.35277000,32735650.67643490,0
1746590400000,96502.02000000,96999.00000000,96300.08000000,96989.97000000,281.53953000,1746604799999,27194571.05123800,30888,127.83373000,12351376.00046110,0
1746604800000,96989.96000000,97112.00000000,96832.01000000,97058.81000000,403.40044000,1746619199999,39124944.46237110,31689,195.36773000,18949127.96262350,0
1746619200000,97059.99000000,97494.53000000,96712.01000000,96941.99000000,685.18057000,1746633599999,66498046.25844500,69717,347.54041000,33726287.56052460,0
1746633600000,96941.99000000,96969.01000000,95800.01000000,96189.47000000,1061.27940000,1746647999999,102317742.27323650,90836,508.29363000,48999671.09970530,0
1746648000000,96196.01000000,97419.94000000,96079.49000000,97043.98000000,467.98609000,1746662399999,45367445.54646730,42048,242.32523000,23490320.12806980,0
1746662400000,97043.97000000,99219.34000000,96878.17000000,99162.00000000,1112.33667000,1746676799999,109331557.60316690,91719,642.12411000,63127909.20277760,0
1746676800000,99161.99000000,99415.99000000,98728.19000000,99263.04000000,556.87251000,1746691199999,55188649.76262770,54111,279.21174000,27673884.92892440,0
1746691200000,99263.05000000,99906.15000000,99220.03000000,99417.00000000,690.31903000,1746705599999,68779309.86547250,53764,345.45702000,34421352.51186690,0
1746705600000,99416.99000000,101536.60000000,99110.00000000,100773.98000000,1576.53950000,1746719999999,157957632.19011420,129500,876.78374000,87894305.68853300,0
