open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760479200000,113179.01000000,113650.00000000,113179.01000000,113485.00000000,32.88826000,1760479499999,3731380.77214260,7115,23.01721000,2611026.89760110,0
1760479500000,113484.99000000,113566.31000000,113338.99000000,113431.01000000,11.85299000,1760479799999,1344594.53347210,3390,5.48297000,622050.99093330,0
1760479800000,113431.01000000,113578.43000000,113431.01000000,113504.01000000,9.42706000,1760480099999,1070188.68581080,2557,5.53245000,628010.45530210,0
1760480100000,113504.00000000,113512.25000000,113428.01000000,113449.01000000,7.26985000,1760480399999,824898.17373710,2045,2.96892000,336877.35916180,0
1760480400000,113449.01000000,113449.01000000,113319.88000000,113353.19000000,11.16902000,1760480699999,1266283.78125870,2085,4.77908000,541697.11505670,0
1760480700000,113353.19000000,113353.20000000,113205.65000000,113244.99000000,19.89466000,1760480999999,2253418.24500960,1696,13.07331000,1480745.74116230,0
1760481000000,113245.00000000,113258.81000000,113091.00000000,113154.00000000,19.24593000,1760481299999,2177804.38343920,1928,13.35257000,1510798.65573500,0
1760481300000,113154.80000000,113224.98000000,113058.49000000,113148.00000000,16.22424000,1760481599999,1835804.62167380,1627,11.09410000,1255321.75991540,0
1760481600000,113147.99000000,113149.72000000,112979.17000000,113019.52000000,8.69875000,1760481899999,983525.11842450,1869,3.08455000,348806.36733270,0
1760481900000,113019.53000000,113075.64000000,112881.29000000,112929.60000000,8.20401000,1760482199999,927003.89972010,1962,3.59496000,406199.57350070,0
1760482200000,112929.61000000,113162.56000000,112927.14000000,113162.55000000,10.05358000,1760482499999,1136524.88925050,1515,7.07358000,799612.47339000,0
1760482500000,113162.56000000,113300.30000000,113162.56000000,113273.92000000,7.52876000,1760482799999,852561.00684920,1396,4.84505000,548583.26920680,0
1760482800000,113273.92000000,113300.00000000,113178.99000000,113286.60000000,10.86952000,1760483099999,1231030.90459490,2453,4.48809000,508231.70902450,0
1760483100000,113289.93000000,113555.55000000,113289.93000000,113536.01000000,12.41129000,1760483399999,1407849.52975090,2645,8.11426000,920266.03891800,0
